timestamp_utc,attack_type,detected_condition,recovery_action,validation_status,evidence_file
2026-07-06T15:32:31.682747+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,clean_no_action,
2026-07-06T15:32:56.687573+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,clean_no_action,
2026-07-06T15:35:36.917174+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,clean_no_action,
2026-07-06T15:37:54.343665+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,recovery_validated,evidence\cron_persistence_20260706_153748.txt
2026-07-06T16:31:11.956863+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,recovery_validated,evidence\cron_persistence_20260706_163106.txt
2026-07-09T19:03:27.466134+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,clean_no_action,
2026-07-09T19:06:41.683617+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,recovery_validated,evidence\cron_persistence_20260709_190612.txt
2026-07-09T19:11:11.175915+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,clean_no_action,
2026-07-09T19:17:32.269014+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,recovery_validated,evidence\cron_persistence_20260709_191705.txt
2026-07-09T19:26:15.067198+00:00,malicious_cron_persistence,/etc/cron.d/realtime_evil_persistence,remove_cron_file,recovery_validated,evidence\cron_persistence_20260709_192546.txt
